tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1337054018678427649,"RT @ShadowWolfLP1: So......in around 15 mins, I'll be streaming some Hades runs, in the first of today's 2 stream day!!!!! Come join me, wo…",6,0,Twitter for Android,2020-12-10 15:18:13
1337054018636566534,RT @RichardTheusch: @politvidchannel What do you mean a King can't have standing?,3,0,Twitter for iPhone,2020-12-10 15:18:13
1337054018615599110,"RT @AlbertBurneko: okay i blogged this:
https://t.co/RNNq3vNdzP",1,0,Twitter Web App,2020-12-10 15:18:13
1337054018611400712,@FZroNsonicManFa @Courtne23299852 @TrueBrenden060 @NintendoAmerica its just a dumb thing,0,0,Twitter Web App,2020-12-10 15:18:13
1337054018603012101,"RT @EJUSA: There's no debate - the death penalty is a modern-day extension of lynching that magnifies racism, and not only fails to provide…",108,0,Twitter Web App,2020-12-10 15:18:13
1337054018603003910,"@GetBrexitDone1 Fortunately it doesn't matter what any of us think.

It's now up to SCOTUS.

Be patient, we should… https://t.co/R0dWEvItdV",0,0,Twitter for Android,2020-12-10 15:18:13
1337054018602983424,trash https://t.co/IJpdieVuDb,0,0,Twitter for iPhone,2020-12-10 15:18:13
1337054018590404610,"Everything has balance. 

But for men and your egos it’s important to pass that phase... because there’s nothing as… https://t.co/KCZVXhBmpw",0,0,Twitter for iPhone,2020-12-10 15:18:13
1337054018586238981,@sxnbugs Hueles a cigarrillo idk 😭,0,0,Twitter for Android,2020-12-10 15:18:13
1337054018582040582,"Bulgaria : I join the UE at January 1st, 2007, which made me have the entiry work-relationships. I felt enjoy of my life.",0,0,twittbot.net,2020-12-10 15:18:13
1337054018577838083,@TheSeunOreks No further comments.,0,0,Twitter for Android,2020-12-10 15:18:13
1337054018577772549,"RT @GarfieldNPS: Poet Emily Dickinson born in Mass. #OnThisDay 190 years ago: 12/10/1830. Widely considered a great poet today, but many of…",1,0,Twitter Web App,2020-12-10 15:18:13
