tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1336738085439201283,RT @MorganBriske: Added these cuties to my Etsy a couple days ago🌿 Are we in love? https://t.co/AR13Olounb,35,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085422460930,"@GrantCMU2018 Don't listen to the haters, drive-thru buddies are good.",0,0,Twitter for Android,2020-12-09 18:22:49
1336738085422460929,TNT has a pool problem but it's not what you think,0,0,"Cheap Bots, Done Quick!",2020-12-09 18:22:49
1336738085384630278,@PurposeTrader20 @seyedoption Oh I wasn’t holding them - I WISH! One of these days I’ll catch a big runner.,0,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085380435970,@TheChilledScrub What happened to no simping👀,0,0,Twitter for Android,2020-12-09 18:22:49
1336738085376290823,@Mike_Pence @realDonaldTrump Why do you bother tweeting? Everyone hates you.,0,0,Twitter Web App,2020-12-09 18:22:49
1336738085376196609,"Gooood night moots see y'all in a few days💏💏

Say it back🔪🔪",0,0,Twitter for Android,2020-12-09 18:22:49
1336738085363736582,@shirtNOpantiess Thank youuu❤️❤️ I finally dont have to be you when i buy a drink 😂🤣,0,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085363650566,"@mypublic_affair Nice cock and superfast, very cool",0,0,Twitter for iPad,2020-12-09 18:22:49
1336738085355352074,"You have to own up to your mistakes but if it was me, I would https://t.co/GKMni5YtFx",0,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085355315207,i wanna be myseeeeeefl,0,0,Twitter for Android,2020-12-09 18:22:49
1336738085346942976,@tinsayye Agree. I feel like they should be forced to sponsor a bunch of Black kids' education or something. They'r… https://t.co/m4aRRUrH3e,0,0,Twitter Web App,2020-12-09 18:22:49
1336738085342769154,Your expectations or your demands??,0,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085342765058,1ere place on t’a dit,0,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085342765057,RT @Viniceo: She does have something for ugly white men.,1,0,Twitter for iPhone,2020-12-09 18:22:49
1336738085338570756,RT @andersonatlarge: James Baldwin embodied the intersectional struggles of the African American and #LGBTQ communities. 204 S. 12th Street…,1,0,Twitter Web App,2020-12-09 18:22:49
